1929 or 1989?	1929年还是1989年?
Second, drug development is geared toward maximizing profit, not social benefit, which skews efforts directed at the creation of medicines that are essential to human welfare.	第二个问题是药品开发的着眼点是利润最大化，而不是社会效益最大化，这使得药品开发倾向于创造对人类福利至关重要的品种。
Because the poor have so little money to spend, drug companies, under current arrangements, have little incentive to do research on the diseases that afflict them.	而穷人根本没有多少钱可花，因此，在现有安排下，制药公司根本没什么激励研究折磨穷人的疾病。
It doesn’t have to be this way.	事情本不必如此。
Drug companies argue that high prices are necessary to fund research and development.	制药公司指出，要价高是必要的，这是为了给研发提供资金。
But, in the United States, it is actually the government that finances most health-related research and development – directly, through public support (National Institutes of Health, National Science Foundation), and indirectly, through public purchases of medicine, both in the Medicare and Medicaid programs.	但是，在美国，大部分卫生相关研发活动的实际出资者是政府——或是通过公共支持（美国国家卫生研究院、国家科学基金会等）直接提供资金，或是通过药品公共采购（如医疗保险和医疗补助计划）间接提供资金。
Even the part that is not government-financed is not a conventional market; most individuals’ purchases of prescription medicines are covered by insurance.	不能获得政府融资的部分也不是传统市场； 许多个人的处方药支出都能获得保险赔付。
Government finances health-care research because improved medicines are a public good.	政府之所以为卫生研究提供融资，是因为改善药品是一种公共品。
The resulting knowledge benefits everyone by stopping epidemics and limiting the economic and human toll of widespread illness.	由此带来的知识进步能防止传染病、减轻常见病的经济和人身伤害，从而让每个人都受益。
Efficiency requires sharing research as widely as possible as soon as it is available.	要获得高效，就必须在获得知识进步后尽可能快地共享之。
Thomas Jefferson compared knowledge to candles: when one is used to light another, it does not diminish the light of the first.	托马斯·杰斐逊曾将知识比作蜡烛：用一根蜡烛点燃另一根蜡烛，并不会减弱前一根蜡烛的光辉。
On the contrary, everything becomes brighter.	相反，这样能使所有东西都变得更亮。
Yet, in America and most of the world, drug prices are still exorbitant and the spread of knowledge is tightly limited.	但是，在美国以及世界大部分地区，药品价格依然高得离谱，知识的传播则受到了严格的制约。
That is because we have created a patent system that gives innovators a temporary monopoly over what they create, which encourages them to hoard their knowledge, lest they help a competitor.	这是因为我们所创造的专利制度给了创新者对其所创之物的暂时垄断权，这促使创新者对知识敝帚自珍，唯恐助了竞争者一臂之力。
While this system does provide incentives for certain kinds of research by making innovation profitable, it allows drug companies to drive up prices, and the incentives do not necessarily correspond to social returns.	这一制度使得创新有利可图，从而确实为某些类型的研究提供了激励； 但制药公司也因此得以坐地起价，它们获得的激励与社会回报不一定相容。
In the health-care sector, it may be more profitable to devote research to a “me-too” drug than to the development of a treatment that really makes a difference.	在卫生领域，致力于研究“仿造”药可能比开发一种另辟蹊径的疗法更加有利可图。
The patent system may even have adverse effects on innovation, because, while the most important input into any research is prior ideas, the patent system encourages secrecy.	专利制度甚至可能对创新起到反作用，因为研究的最重要输入变量是领先的思想，而专利制度却在鼓励彼此保密。
A solution to both high prices and misdirected research is to replace the current model with a government-supported prize fund.	要价高企和研究��向偏差问题的解决之道是用政府奖励基金代替现有模式。
With a prize system, innovators are rewarded for new knowledge, but they do not retain a monopoly on its use.	在奖励制度下，创新者将因新知识而受到奖赏，但不再获得新知识使用的垄断权。
That way, the power of competitive markets can ensure that, once a drug is developed, it is made available at the lowest possible price – not at an inflated monopoly price.	这样一来，竞争性市场的力量将能保证只要药品被开发出来，就能以尽可能低的价格（而不是大大膨胀的垄断价）为患者所获。
Fortunately, some US lawmakers are taking a strong interest in this approach.	幸运的是，一些美国立法者已对这一方法产生了浓厚兴趣。
The Prize Fund for HIV/AIDS Act, a congressional bill introduced by Senator Bernie Sanders, is just such an initiative.	参议员桑德斯（Bernie Sanders）提出、并获得国会通过的艾滋病奖励基金法（Prize Fund for HIV/AIDS Act）只是一个开始。
His bill also contains an important provision aimed at encouraging open-source research, which would move the current research model away from secrecy toward sharing.	桑德斯的法案包括了一个旨在鼓励开源研究的重要部分，将促使现有研究模式从保密转向共享。
But, globally, our innovation system needs much bigger changes.	但是，从全球角度看，我们的创新制度还需要做出大得多的变化。
The WHO’s efforts to encourage broad reforms at the international level are crucial.	世界卫生组织旨在促进国际层面的广泛改革的努力非常关键。
This spring, the WHO released a report that recommends solutions similar to those proposed in the US Senate bill, but on a global level.	今年春天，世界卫生组织公布了一份报告，其中提出了一项类似于桑德斯法案的解决之道——只不过世卫组织的方案是全球水平的。
Importantly, the report, “Research and Development to Meet Health Needs in Developing Countries,” recommends a comprehensive approach, including mandatory funding contributions from governments for research on developing countries’ health needs; international coordination of health-care priorities and implementation; and a global observatory that would monitor where needs are greatest.	有一点很重要，这份题为《用研发满足发展中国家的卫生需要》（“Research and Development to Meet Health Needs in Developing Countries）给出了一个完整的方法，包括来自政府的指令性发展中国家卫生研究资金分配； 优先卫生项目和实施的国际合作；
In late May, the international community will have a chance to begin implementing these ideas at the WHO World Health Assembly – a moment of hope for public health around the world.	以及监测最紧迫需求的全球观察组。 5月底，国际社会将由机会在世界卫生组织大会上开始实施这些想法，这将是世界公共卫生的希望时刻。
Reforming our innovation system is not just a matter of economics.	改革创新制度并不仅仅是一个经济问题。
It is, in many cases, a matter of life and death.	在很多情况下，它是个事关生死的大问题。
It is therefore essential to de-link R&amp;D incentives from drug prices, and to promote greater sharing of scientific knowledge.	因此，将研发激励与药品价格脱钩、鼓励更多的科学知识分享至关重要。
For America, the Sanders bill marks important progress.	对美国来说，桑德斯法案是一次重大进步。
For the world, the WHO’s recommendations represent a once-in-a-generation opportunity to remedy a long-standing and egregious inequity in health care, and, more broadly, to set a model for governance of global public goods befitting an era of globalization.	对全世界来说，世卫组织的建议可谓修正长期存在的卫生不平等性恶疾的千载难逢的良机（从更广的角度讲，也是设立与全球化时代相适应的全球公共品治理新模式的良机）。
We cannot afford to let this opportunity pass us by.	我们决不能坐视这个机会从手中白白溜走。
Absent-Minded Killers	心不在焉的杀戮者
As a species, human beings have a major self-control problem.	作为一个物种，人类存在很大的自我控制问题。
We humans are now so aggressively fishing, hunting, logging, and growing crops in all parts of the world that we are literally chasing other species off the planet.	我们人类现在全世界所有的地方如此大肆捕鱼、打猎、采伐和种植作物，乃至我们实际上在把其他物种从地球上驱赶出去。
Our intense desire to take all that we can from nature leaves precious little for other forms of life.	我们极度想要从大自然中索取所有我们可以索取的东西，留给其他生物种类的东西少之又少。
In 1992, when the world’s governments first promised to address man-made global warming, they also vowed to head off the human-induced extinction of other species.	在1992年世界各国政府第一次保证解决人为全球气候变暖的时候，他们同时还誓言阻止由人类引发的其他物种的灭绝。
The Convention on Biological Diversity, agreed at the Rio Earth Summit, established that “biological diversity is a common concern of humanity.”	在里约热内卢通过的生物多样性公约确认“生物多样性是人类的共同关切问题。
The signatories agreed to conserve biological diversity, by saving species and their habitats, and to use biological resources (e.g., forests) in a sustainable manner.	”签署国们同意通过挽救物种及其栖息地来保全生物多样性，并且以可持续的方式使用生物资源(例如森林)。
In 2002, the treaty’s signatories went further, committing to “a significant reduction in the current rate of biodiversity loss” by 2010.	2002年，该公约的签署国们更进一步，承诺在2010年以前“大幅度削减目前的生物多样性损失”。
Unfortunately, like so many other international agreements, the Convention on Biological Diversity remains essentially unknown, un-championed, and unfulfilled.	不幸的是，就像其他如此众多的国际公约一样，生物多样性公约基本上不为人所知，没有得到宣传促进，也没有得到落实。
That neglect is a human tragedy.	这一疏忽是人类的悲剧。
For a very low cash outlay – and perhaps none at all on balance – we could conserve nature and thus protect the basis of our own lives and livelihoods.	只需要很少的现金投入，甚至在根本上不需要花钱，我们就本能够保全自然，并且进而保护人类自身生命和生计的基础。
We kill other species not because we must, but because we are too negligent to do otherwise.	我们并非是出于必须才杀戮其他物种，而是我们过于疏忽，乃至不改弦更张。
Consider a couple of notorious examples.	让我们来看一看几个臭名昭著的例子。
Some rich countries, such as Spain, Portugal, Australia, and New Zealand, have fishing fleets that engage in so-called “bottom trawling.”	像西班牙、葡萄牙、澳大利亚以及新西兰等富国拥有从事所谓“水底拖网”的捕鱼船队。
Bottom trawlers drag heavy nets over the ocean bottom, destroying magnificent, unexplored, and endangered marine species in the process.	水底拖网在海洋底部拖走很重的鱼网，从而在这一过程中摧毁大量没有探明并且受到威胁的海洋物种。
Complex and unique ecologies, most notably underground volcanoes known as seamounts, are ripped to shreds, because bottom trawling is the “low cost” way to catch a few deep sea fish species.	因为水底拖网是捕捞某些深海鱼种的“低成本”办法，因此某些复杂而又独特的生态、最为主要的是被称为海底山的地下火山被切断。
One of these species, orange roughy, has been caught commercially for only around a quarter-century, but already is being fished to the point of collapse.	其中的一个物种叫做橙连鳍鲑，被用于商业捕捞不过大约25年的时间，但是已经被捕捞得处于崩溃的边缘。
Likewise, in many parts of the world, tropical rainforest is being cleared for pasture land and food crops.	同样在世界许多地方，热带雨林遭到砍伐来开辟牧场和粮食作物。
The result is massive loss of habitat and destruction of species, yielding a tiny economic benefit at a huge social cost.	结果就是栖息地的大量损失和物种的毁灭，所产生的微小的经济利益是以巨大的社会成本为代价的。
After cutting down a swath of rainforest, soils are often quickly leached of their nutrients so that they cannot sustain crops or nutritious grasses for livestock.	在一片雨林被砍伐后，土壤通常马上就丧失了养分， 无法供养作物或者让家畜食用有营养的草地。
As a result, the new pasture land or farmland is soon abandoned, with no prospect for regeneration of the original forest and its unique ecosystems.	结果，新的牧场或农田马上被放弃，没有机会再退耕还林，恢复其独特的生态系统。
Because these activities’ costs are so high and their benefits so low, stopping them would be easy.	由于这些活动的代价高昂、收益低下，停止这些活动是容易的。
Bottom trawling should simply be outlawed; it would be simple and inexpensive to compensate the fishing industry during a transition to other activities.	水底拖网应当干脆被取缔； 在捕鱼产业向其他活动转型期间予以补偿是容易做到而且也是费用不大的。
Forest clearing, on the other hand, is probably best stopped by economic incentives, perhaps combined with regulatory limits.	另一方面，砍伐森林最好通过经济激励的方式辅之以管治限制予以制止。
Simply restricting the practice of land clearing probably would not work, since farm families and communities would face a strong temptation to evade legal limits.	简单地限制开发土地的做法可能无法奏效，因为农业家庭和社区将会面临极大的躲避法律限制的诱惑。
On the other hand, financial incentives would probably succeed, because cutting down forest to create pastureland is not profitable enough to induce farmers to forego payments for protecting the land.	在另一方面，财政刺激可能会成功，因为砍伐森林来创造牧场土地并不有利可图，从而使得农民为了保护土地而放弃付款。
Many rainforest countries have united in recent years to suggest the establishment of a rainforest conservation fund by the rich countries, to pay impoverished small farmers a small amount of money to preserve the forest.	许多雨林国家在最近几年中联合起来提议富有国家建立雨林储存基金，用来向贫困的小农场主支付少量金额来保护森林。
A well-designed fund would slow or stop deforestation, preserve biodiversity, and reduce emissions of carbon dioxide the burning of cleared forests.	一个设计合理的基金将会放缓或者停止森林采伐，保护生物多样性，并且减少燃烧砍伐后的森林所造成的二氧化碳排放。
At the same time, small farmers would receive a steady flow of income, which they could use for micro-investments to improve their household’s wealth, education, and health.	与此同时，小农场主将会得到稳定的收入，他们可以用这笔钱作小额投资用以改善家庭的财富、教育和健康。
Aside from banning bottom trawling and establishing a global fund for avoided deforestation, we should designate a global network of protected marine areas, in which fishing, boating, polluting, dredging, drilling, and other damaging activities would be prohibited.	除了取缔水底拖网并且建立为避免森林砍伐的全球性基金外，我们应当指定一个全球性的海洋保护区域网络，在这些区域中禁止捕鱼、划船、污染、挖泥、钻探以及其他有害的活动。
Such areas not only permit the regeneration of species, but also provide ecological benefits that spill over to neighboring unprotected areas.	这些区域不仅可以重新恢复物种，而且还可以提供生态效益向邻近的未保护区域扩散。
We also need a regular scientific process to present the world with the evidence on species abundance and extinction, just as we now have such a process for climate change.	我们还需要定期的科学进程来向世界展示物种繁荣和灭绝的证据，正如有关气候变化的进程一样。
Politicians don’t listen very well to individual scientists, but they are forced to listen when hundreds of scientists speak with a united voice.	政客们并不十分听取个别科学家的意见，但是当几百个科学家异口同声的时候他们就不得不���取了。
Finally, the world should negotiate a new framework no later than 2010 to slow human-induced climate change.	最后，各国应该在不迟于2010年谈判一项新的框架来减缓人为引起的气候变化。
There can be little doubt that climate change poses one of the greatest risks to species’ viability.	毫无疑问，气候变化是物种生存最大的威胁之一。
As the planet warms, and rain and storm patterns change dramatically, many species will find themselves in climate zones that no longer support their survival.	当地球变暖、 降雨和风暴模式大幅度改变之际，许多物种都会处于不再支持其存活的气候区域内。
Some can migrate, but others (such as polar bears) are likely to be driven to extinction unless we take decisive action to head off climate change.	某些物种可以迁徙，但是，除非我们采取决定性的行动来阻止气候变化，其他的物种(例如北极熊)就有可能遭到灭绝。
These measures are achievable by 2010.	在2010年以前实现这些目标是可能的。
They are affordable, and in each case would ultimately deliver large net benefits.	它们在经济上是可以承担的，而且在各个情况下都最终会带来巨大的净效益。
Most importantly, they would allow us to follow through on a global promise.	最为重要的是，这将会让我们实现全球性的许诺。
It is too painful to believe that humanity would destroy millions of other species – and jeopardize our own future – in a fit of absent-mindedness.	人类在心不在焉之际会摧毁数以白万计的其他物种并威胁到我们自己的未来，要相信这一点是过于痛苦的。
Making Do With More	多劳应多得
BERKELEY – In the United States, just three out of ten workers are needed to produce and deliver the goods we consume.	伯克利—在美国，生产和递送我们所消费的商品只需要十分之三的工人。
Everything we extract, grow, design, build, make, engineer, and transport – down to brewing a cup of coffee in a restaurant kitchen and carrying it to a customer's table – is done by roughly 30% of the country's workforce.	我们提炼、种植、设计、建造、制作、打磨和运送的所有东西——一直到从饭店厨房泡一杯咖啡并送给餐桌前的顾客——是由大约30%的美国劳动力做的。
The rest of us spend our time planning what to make, deciding where to install the things we have made, performing personal services, talking to each other, and keeping track of what is being done, so that we can figure out what needs to be done next.	我们其他人把时间花在规划制造什么、决定把我们造出来的东西摆在哪里、履行个人服务、彼此谈话、追踪正在制造什么上，以便我们能够发现我们下一步需要做什么。
And yet, despite our obvious ability to produce much more than we need, we do not seem to be blessed with an embarrassment of riches.	而尽管我们显然拥有制造比我们需要的多得多的东西的能力，但我们似乎并不会富得发慌。
One of the great paradoxes of our time is that workers and middle-class households continue to struggle in a time of unparalleled plenty.	现时代的一大悖论正是工人和中产阶级家庭在前无古人的丰裕时代仍然要为生活奔波。
We in the developed countries have more than enough to cover our basic needs.	我们发达国家的人要想满足基本需要易如反掌。 我们有的是有机碳氢键，打破它们就能 给我们带来卡路里；
We have enough organic carbon-hydrogen bonds to break to provide us with calories; enough vitamins and other nutrients to keep us healthy; enough shelter to keep us dry; enough clothing to keep us warm; enough capital to keep us, at least potentially, productive; and enough entertainment to keep us from being bored.	我们有的是维生素和其他营养物质帮助我们保持健康； 我们有的是居所让我们保持干燥；
And we produce all of it for an average of less than two hours a day of work outside the home.	我们有的是娱乐项目让我们不至于无聊。 我们生产所有这些，只需要平均每天花不到两小时走出家门去工作。
John Maynard Keynes was not off by much when he famously predicted in 1930 that the human race's “economic problem, the struggle for subsistence," was likely to be “solved, or be at least within sight of solution, within a hundred years."	1930年，当凯恩斯的著名预言预测人类的“经济问题，即生存斗争”有可能“在一百年内得到解决，或至少看到解决办法。
It will take another generation, perhaps, before robots have completely taken over manufacturing, kitchen work, and construction; and the developing world looks to be 50 years behind. But Keynes would have been spot on had he targeted his essay at his readers' great-great-great-great grandchildren.	”
And yet there are few signs that working- and middle-class Americans are living any better than they did 35 years ago.	然而没有什么迹象表明美国工人和中产阶级比35年前生活得更好。
Even stranger, productivity growth does not seem to be soaring, as one would expect; in fact, it seems to be decelerating, according to research by John Fernald and Bing Wang, economists in the Economic Research Department of the Federal Reserve Bank of San Francisco.	更奇怪的是，生产率增长似乎没有如你预期的那样大幅加速； 事实上，根据旧金山联邦储备银行经济研究部的约翰·费纳尔多（John Fernald）和王兵（音）的研究，生产率增长出现了减速。
Growth prospects are even worse, as innovation hits gale-force headwinds.	增长前景甚至更加糟糕，因为创新活动撞上了南墙。
One way to reconcile the changes in the job market with our lived experience and statistics like these is to note that much of what we are producing is very different from what we have made in the past.	一个协调就业市场变化与我们的生活经验和这些统计数字的办法是注意到我们生产的许多东西与我们过去所制造的东西区别很大。
For most of human experience, the bulk of what we produced could not be easily shared or used without permission.	在人类历史的大部分时间里，我们生产出来的东西无法轻易地在未经允许的情况下共享或使用。
The goods we made were what economists call “rival" and “excludible" commodities.	我们以前制造的东西是经济学家所谓的“竞争性”或“排他性”商品。
Being “rival" means that two people cannot use the same product at the same time.	“竞争性”是指两个人无法在同时使用同一个产品。
Being “excludible" means that the owner of a product can easily prevent others from using it.	“排他性”是指产品的所有者可以轻易地阻止其他人使用这个产品。
These two traits put a great deal of bargaining power in the hands of those who control production and distribution, making them ideal for a market economy based on private property.	这两个特征让控制生产和分配的人拥有了巨大的议价权，成为基于私人产权的市场经济的理想之选。
Money naturally flows to where utility and value are being provided – and those flows are easy to track in national accounts.	钱自然而然地流向了提供效用和价值的地方——并且这些资金流可以轻易地在国民账户中进行追踪。
But much of what we are producing in the information age is neither rival nor excludible – and this changes the entire picture.	但我们在信息时代所生产的许多东西既不具有竞争性，也不具有排他性——这改变了整个局面。
The creation of information-age goods is difficult to incentivize; their distribution is hard to monetize; and we lack the tools to track them easily in national accounts.	信息时代商品的制造很难施加激励； 它们的分配也难以货币化；
The result is an ever-growing discrepancy between what people would be willing to pay for a given service and growth as measured in national statistics.	我们也缺乏工具在国民账户中轻易地追踪它们。 结果是人们愿意为给定服务所支付的数量与国民统计所测量的增长之间的差异越来越大。
In other words, we are producing and consuming much more than our economic indicators suggest – and the creators of many of those products are not being adequately compensated.	换句话说，我们生产和消费的数量比经济指标所显示的规模大得多——而许多这些产品的额制造者没有获得充分的报偿。
This produces a set of unique problems.	这就带来了一系列独特的问题。
To ensure that the workers of today and tomorrow are able to capture the benefits of the information age will require us to redesign our economic system to stimulate the creation of these new types of commodities.	为了确保今天和明天的工人能够获得信息时代的好处，我们就必须重新设计经济制度以刺激这些新型商品的创造。
In addition to developing ways to account for this new type of wealth, we will have to develop channels through which demand for a product contributes to the income of its creator.	除了找到记录这一新型财富的方法，我们还需要找到将让产品需求有利于创造者收入的渠道。
Only by finding ways to put true value on the goods we produce will we be able to sustain a middle-class society, rather than one of techno-plutocrats and their service-sector serfs.	只有找到能准确衡量我们所制造的商品的额价值的方法，我们才能维持中产阶级社会，而不至于出现由技术大亨和他们的服务业农奴组成的社会。
The New Brain Drain in Science	科研领域新一轮人才流失
DUBAI – In December 2013, the Nobel laureate physicist Peter Higgs told The Guardian that if he were seeking a job in academia today, “I don’t think I would be regarded as productive enough.”	迪拜——2013年12月，诺贝尔物理学奖得主彼得·希格斯在接受卫报采访时表示，如果他今天在学术界求职，“我恐怕不会被认为是最高效的。
Having published fewer than ten papers since his groundbreaking work in 1964, Higgs believes that no university would employ him nowadays.	”因为在1964年发表突破之作后迄今为止仅发表过不到十篇论文，希格斯认为今天没有哪家大学会雇佣他。
Academics are well acquainted with the notion of “publish or perish.”	“出版或者毁灭”是当今学者熟悉的概念。
They must publish their work in peer-reviewed journals increasingly often to climb the career ladder, protect their jobs, and secure funding for their institutions.	他们必须越来越多地在同行评议杂志上发表作品，才能攀登职业阶梯、保住工作岗位和为所在机构争取研究经费。
But what happens to scientists and other scholars, such as those in the Middle East, who have different research concerns from – and scant connections to – the professional journals that can make or break an academic/scientific career?	但那些研究重点迥异且与今天能造就或毁灭学术/科研生涯的专业期刊鲜有联系的科学家和其他学者（比方说中东学者）又该怎么办？
Scholars and institutions with high publishing rates in the established journals receive better productivity scores, which translate into bigger rewards, in terms of enhanced careers and greater research funding.	在著名期刊拥有高出版率的学者和科研机构效率得分较高，进而在职业生涯发展和研究经费支持方面得到更多奖励。
Whether the work they are publishing has a measurable impact on their field of study is, sadly, too often a secondary concern.	但可悲的是，他们所发表的作品对所在研究领域能否产生可以度量的影响却往往不那么被外界关注。
The incentives they face mean that quantity often comes before quality.	他们所面临的激励机制意味着数量往往比质量重要。
Academic journals determine the various disciplinary rankings that academic institutions are compelled to climb, which leads institutions to hire and retain only those scholars who can produce at high rates.	学术期刊决定科研机构被动研究的学科领域排名，从而导致科研机构仅仅雇佣并保留那些高效率的学者。
This has given rise to a deeper, twofold problem: academic journals have become disproportionately influential, and they have placed a premium on empirical research.	由此导致了更深层次的双重问题：学术期刊的影响力已经过于庞大，而且它们过分鼓励实证研究。
With respect to the first problem, journals are gradually replacing institutions as the arbiters of quality within academic communities.	在第一个问题上，期刊正逐步取代科研机构成为学术成果质量的评判者。
Scholars in almost any discipline seeking jobs at “A-level” institutions must publish in a select few A-level journals that are seen as gateways.	几乎任何领域想在“A级”研究机构求职的学者都必须在几本被公认为入门通道的A级杂志上发表研究成果。
These journals’ editorial boards increasingly privilege positivist theoretical work – meaning research that is based on empirical data analysis.	上述期刊的编辑委员会越来越偏爱实证主义理论研究作品——也就是说以实证数据分析为基础的研究。
Qualitative research – such as ethnographies, participatory surveys, and case studies – is often designated as suitable only for B- and C-level journals.	定性研究——如民族志、参与性调查和案例研究等——往往被定性为只适合B级或C级期刊发表。
Academics conducting empirical research have a big advantage over those carrying out qualitative work, because they can use efficient software and powerful computers to test their hypotheses quickly and account for different variables in data sets.	相比那些从事定性研究的学者，从事实证研究的学者优势非常显著。 因为他们可以使用高效软件和功能强大的电脑来快速测试假设，并计算数据集中不同变量的影响。
This kind of work can be cheaper, too, because a single data set can generate multiple journal articles.	此类工作也可以降低成本，因为单个数据集可以产出多篇期刊文章。
To be sure, there is nothing wrong with scientific practices evolving along with technology, or with academics using richer data sets and better software.	可以肯定，科学实践随技术演进、抑或学术界使用更丰富的数据集和更先进的软件都属于正常现象。
But adoption of this quantitative approach should not be the single most important criterion for assessing scientific excellence and deciding career trajectories.	但这种定量方法的采用不应成为评估科学卓越性和决定职业轨迹的唯一重要的衡量指标。
After all, knowledge is acquired in different ways, and empirical positivism is only one method in a larger epistemological inventory.	毕竟知识是以不同方式取得的，而经验实证主义仅仅是广义认识论宝库中的一项法则。
The positivist trend in science today is particularly problematic for developing countries, where data sets are scarce and often of poor quality.	今天的实证主义趋势对发展中国家而言问题尤为严重，因为发展中国家不仅数据集稀缺，而且往往质量较差。
Thus, scientists working in developing countries face a dilemma: either work on rich-world problems for which there is abundant data, or risk career advancement by conducting qualitative work that will not make it into A-level journals.	因此，在发展中国家工作的科学家们面临着囚徒困境：或者研究有着丰富数据的富裕国家问题，或者甘冒职业生涯之险而进行无缘进入A级期刊的定性研究。
Academics who move from data-rich countries in Europe and North America to data-poor countries in the Middle East and elsewhere often face this problem.	从欧洲和北美等数据丰富国家迁往中东等数据贫乏国家的学者往往面临着这样的问题。
As researchers at my institution in Abu Dhabi know, conducting surveys for qualitative research is feasible; but generating rich data from scratch for theory-building research is extremely difficult.	正如阿布扎比我所在科研机构的研究人员所知的那样，采集调研数据用于进行定性研究尚属可行； 但从零开始搜集理论建设研究所需的丰富数据却是极其困难的。
At the International Conference on Science and Technology Indicators this year, a French academic researching soil in Africa reported that only 5% of the published work in his field has originated from African researchers.	在今年召开的科学技术指标国际���议上，一位研究非洲土壤的法国学者报告在他所研究的领域，仅有5%的出版作品来自非洲研究者。
When he dug deeper into his own research, he found that 50% of what he had learned about African soil came from African researchers, who have not or could not publish their work in international academic journals.	但当他深入研究自己的研究成果时，却发现他对非洲土壤的认识有50%来自非洲研究者，而这些研究人员的成果没有也不可能在国际学术期刊上发表。
Countries where English is not the lingua franca are particularly disadvantaged in science, not because they lack academic excellence, but because English-language journals call the shots.	英语不是通用语的国家在科研方面处境尤其不利，这绝非因为他们学术科研水平不高，而是因为科学界由英语期刊来扮演发号施令的角色。
Non-English academic journals simply do not command the same attention in the science community.	非英语学术期刊在科学界根本得不到同样的关注。
As a result, the scope of research topics that many countries can undertake is limited, and they must struggle to retain scientific talent.	结果导致许多国家可以进行的研究课题范围有限，因此必须拼尽全力才能将科研人才留在本国。
This is particularly true in the Middle East, where governments are struggling to diversify their economies, in order to make them more resilient.	中东地区的情况尤其如此，各国政府正努力实现经济多样化，从而使国民经济适应性得到提高。
As English-language empirical-research journals consolidate their hold on the channels that determine whether or not a scientist will have a successful career, developing countries will have to invest heavily in their own data infrastructure to place domestic researchers on a more competitive footing.	因为英语实证研究期刊进一步增强了对科学家能否取得职业成功渠道的控制，发展中国家必须大量投资于国内数据基础设施，才能使国内研究人员处在更具竞争力的科研地位上。
But even – or especially – if developing countries do make such investments, much will be lost to science.	但即使——或者尤其——如果发展中国家确实进行这样的投资，将给科研领域造成非常严重的后果。
With (mostly) United States-based academic journals reigning over global science, no one has to move to become part of a new brain drain, whereby scientists’ research priorities, problems, and methods gravitate to the dominant positivist epistemology, at the expense of all alternatives.	因为统治全球科学的学术期刊（多数）来自美国，科学家不用实际迁移就会成为新人才流失的组成部分，科学家的研究重点、问题和方法将会牺牲其他选择而转向目前占主导地位的实证主义认识研究。
Polluters Must Pay	污染者必须负责
NEW YORK – When BP and its drilling partners caused the Deepwater Horizon oil spill in the Gulf of Mexico in 2010, the United States government demanded that BP finance the cleanup, compensate those who suffered damages, and pay criminal penalties for the violations that led to the disaster.	发自纽约——当英国石油公司及其搭档瑞士越洋钻探公司于2010年在墨西哥湾引发“深水地平线”漏油事故时，美国政府不但要求英国石油公司承担油污清理费用，赔偿受害者损失，还要为导致此次灾难的违规行为接受刑事处罚。
BP has already committed more than $20 billion in remediation and penalties.	英国石油公司已经为该事故调拨了200多亿美元用于善后补救工作和交纳罚金。
Based on a settlement last week, BP will now pay the largest criminal penalty in US history – $4.5 billion.	根据上周达成的协议，英国石油公司将支付美国历史上最大的一 笔刑事罚款——45亿美元。
The same standards for environmental cleanup need to be applied to global companies operating in poorer countries, where their power has typically been so great relative to that of governments that many act with impunity, wreaking havoc on the environment with little or no accountability.	同样的环境事故清理善后标准也应运用到那些在贫困国家经营的国际企业身上。 这些大公司的势力相对当地政府来说通常极为巨大，以致许多公司都是在豁免权下活动，可以对环境造成严重破坏却极少或无需承担责任。
As we enter a new era of sustainable development, impunity must turn to responsibility.	随着我们进入一个可持续发展的新时代，豁免权应该转向责任制。
Polluters must pay, whether in rich or poor countries.	不管是在富国还是穷国，污染者必须付出代价。
Major companies need to accept responsibility for their actions.	大公司应该为它们的行为承担相应的责任。
Nigeria has been Exhibit A of corporate environmental impunity.	尼日利亚就曾经是企业逍遥于环境污染惩罚之外的例子。
For decades, major oil companies, including Shell, ExxonMobil, and Chevron, have been producing oil in the Niger Delta, an ecologically fragile environment of freshwater swamp forests, mangroves, lowland rainforests, and coastal barrier islands.	几十年来，包括壳牌、埃克森美孚和雪弗龙在内的各大石油公司一直在尼日尔三角洲开采石油。 尼日尔三角洲是一个拥有淡水沼泽森林、红树林、低地雨林和沿海屏障岛屿的脆弱生态环境。
This rich habitat supports remarkable biodiversity – or did before the oil companies got there –&#160;and more than 30 million local inhabitants, who depend on the local ecosystems for their health and livelihoods.	这片肥沃富饶的栖息地支撑着非凡的生物多样性——或者说在石油公司来破坏之前是这样的——而当地3000多万居民的健康和生计都依赖于该生态系统。
Twenty years ago, the International Union for Conservation of Nature and Natural Resources classified the Niger Delta as a region of high biodiversity of marine and coastal flora and fauna – tree species, fish, birds, and mammals, among other forms of life – and therefore rated it as a very high priority for conservation.	二十年前，世界自然保护联盟把尼日尔三角洲分类为一个拥有极丰富海洋及沿海动植物多样性的地区——不同树种、鱼类、鸟类和哺乳类与其他形式的生命共处一地——因此将其列为极高的优先保护等级。
Yet it also noted that the region’s biodiversity was under massive threat, with little or no protection.	然而该联盟也指出，由于这个地区极少或未被保护，其生物多样性正处于巨大的威胁之中。
The global companies operating in the delta have spilled oil and flared natural gas for decades, without regard for the natural environment and the communities impoverished and poisoned by their actions.	在尼日尔三角洲经营的跨国石油企业几十年来一直在该地区泄漏石油及燃烧天然气，根本不考虑自然环境和因其行为而变得贫困甚至遭受毒害的人类社区。
One estimate puts the cumulative spills over the past 50 years at approximately 10 million barrels – twice the size of the BP spill.	一份研究估计宣称过去50年中这些公司累积泄漏的石油约为1000万桶——这是英国石油公司漏油量的2倍。
